Table,Row,Description,Special
application_data,NONLIVINGAPARTMENTS_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
application_data,NONLIVINGAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
application_data,FONDKAPREMONT_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
application_data,HOUSETYPE_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
application_data,TOTALAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
application_data,WALLSMATERIAL_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
application_data,EMERGENCYSTATE_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",normalized
application_data,OBS_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 30 DPD (days past due) default,
application_data,DEF_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 30 DPD (days past due) ,
application_data,OBS_60_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 60 DPD (days past due) default,
application_data,DEF_60_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 60 (days past due) DPD,
application_data,DAYS_LAST_PHONE_CHANGE,How many days before application did client change phone,
application_data,FLAG_DOCUMENT_2,Did client provide document 2,
application_data,FLAG_DOCUMENT_3,Did client provide document 3,
application_data,FLAG_DOCUMENT_4,Did client provide document 4,
application_data,FLAG_DOCUMENT_5,Did client provide document 5,
application_data,FLAG_DOCUMENT_6,Did client provide document 6,
application_data,FLAG_DOCUMENT_7,Did client provide document 7,
application_data,FLAG_DOCUMENT_8,Did client provide document 8,
application_data,FLAG_DOCUMENT_9,Did client provide document 9,
application_data,FLAG_DOCUMENT_10,Did client provide document 10,
application_data,FLAG_DOCUMENT_11,Did client provide document 11,
application_data,FLAG_DOCUMENT_12,Did client provide document 12,
application_data,FLAG_DOCUMENT_13,Did client provide document 13,
application_data,FLAG_DOCUMENT_14,Did client provide document 14,
application_data,FLAG_DOCUMENT_15,Did client provide document 15,
application_data,FLAG_DOCUMENT_16,Did client provide document 16,
application_data,FLAG_DOCUMENT_17,Did client provide document 17,
application_data,FLAG_DOCUMENT_18,Did client provide document 18,
application_data,FLAG_DOCUMENT_19,Did client provide document 19,
application_data,FLAG_DOCUMENT_20,Did client provide document 20,
application_data,FLAG_DOCUMENT_21,Did client provide document 21,
application_data,AMT_REQ_CREDIT_BUREAU_HOUR,Number of enquiries to Credit Bureau about the client one hour before application,
application_data,AMT_REQ_CREDIT_BUREAU_DAY,Number of enquiries to Credit Bureau about the client one day before application (excluding one hour before application),
application_data,AMT_REQ_CREDIT_BUREAU_WEEK,Number of enquiries to Credit Bureau about the client one week before application (excluding one day before application),
application_data,AMT_REQ_CREDIT_BUREAU_MON,Number of enquiries to Credit Bureau about the client one month before application (excluding one week before application),
application_data,AMT_REQ_CREDIT_BUREAU_QRT,Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application),
application_data,AMT_REQ_CREDIT_BUREAU_YEAR,Number of enquiries to Credit Bureau about the client one day year (excluding last 3 months before application),
previous_application.csv,SK_ID_PREV ,"ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loan applications in Home Credit, previous application could, but not necessarily have to lead to credit) ",hashed
previous_application.csv,SK_ID_CURR,ID of loan in our sample,hashed
previous_application.csv,NAME_CONTRACT_TYPE,"Contract product type (Cash loan, consumer loan [POS] ,...) of the previous application",
previous_application.csv,AMT_ANNUITY,Annuity of previous application,
previous_application.csv,AMT_APPLICATION,For how much credit did client ask on the previous application,
previous_application.csv,AMT_CREDIT,"Final credit amount on the previous application. This differs from AMT_APPLICATION in a way that the AMT_APPLICATION is the amount for which the client initially applied for, but during our approval process he could have received different amount - AMT_CREDIT",
previous_application.csv,AMT_DOWN_PAYMENT,Down payment on the previous application,
previous_application.csv,AMT_GOODS_PRICE,Goods price of good that client asked for (if applicable) on the previous application,
previous_application.csv,WEEKDAY_APPR_PROCESS_START,On which day of the week did the client apply for previous application,
previous_application.csv,HOUR_APPR_PROCESS_START,Approximately at what day hour did the client apply for the previous application,rounded
previous_application.csv,FLAG_LAST_APPL_PER_CONTRACT,Flag if it was last application for the previous contract. Sometimes by mistake of client or our clerk there could be more applications for one single contract,
previous_application.csv,NFLAG_LAST_APPL_IN_DAY,Flag if the application was the last application per day of the client. Sometimes clients apply for more applications a day. Rarely it could also be error in our system that one application is in the database twice,
previous_application.csv,NFLAG_MICRO_CASH,Flag Micro finance loan,
previous_application.csv,RATE_DOWN_PAYMENT,Down payment rate normalized on previous credit,normalized
previous_application.csv,RATE_INTEREST_PRIMARY,Interest rate normalized on previous credit,normalized
previous_application.csv,RATE_INTEREST_PRIVILEGED,Interest rate normalized on previous credit,normalized
previous_application.csv,NAME_CASH_LOAN_PURPOSE,Purpose of the cash loan,
previous_application.csv,NAME_CONTRACT_STATUS,"Contract status (approved, cancelled, ...) of previous application",
previous_application.csv,DAYS_DECISION,Relative to current application when was the decision about previous application made,time only relative to the application
previous_application.csv,NAME_PAYMENT_TYPE,Payment method that client chose to pay for the previous application,
previous_application.csv,CODE_REJECT_REASON,Why was the previous application rejected,
previous_application.csv,NAME_TYPE_SUITE,Who accompanied client when applying for the previous application,
previous_application.csv,NAME_CLIENT_TYPE,Was the client old or new client when applying for the previous application,
previous_application.csv,NAME_GOODS_CATEGORY,What kind of goods did the client apply for in the previous application,
previous_application.csv,NAME_PORTFOLIO,"Was the previous application for CASH, POS, CAR, …",
previous_application.csv,NAME_PRODUCT_TYPE,Was the previous application x-sell o walk-in,
previous_application.csv,CHANNEL_TYPE,Through which channel we acquired the client on the previous application,
previous_application.csv,SELLERPLACE_AREA,Selling area of seller place of the previous application,
previous_application.csv,NAME_SELLER_INDUSTRY,The industry of the seller,
previous_application.csv,CNT_PAYMENT,Term of previous credit at application of the previous application,
previous_application.csv,NAME_YIELD_GROUP,Grouped interest rate into small medium and high of the previous application,grouped
previous_application.csv,PRODUCT_COMBINATION,Detailed product combination of the previous application,
previous_application.csv,DAYS_FIRST_DRAWING,Relative to application date of current application when was the first disbursement of the previous application,time only relative to the application
previous_application.csv,DAYS_FIRST_DUE,Relative to application date of current application when was the first due supposed to be of the previous application,time only relative to the application
previous_application.csv,DAYS_LAST_DUE_1ST_VERSION,Relative to application date of current application when was the first due of the previous application,time only relative to the application
previous_application.csv,DAYS_LAST_DUE,Relative to application date of current application when was the last due date of the previous application,time only relative to the application
previous_application.csv,DAYS_TERMINATION,Relative to application date of current application when was the expected termination of the previous application,time only relative to the application
previous_application.csv,NFLAG_INSURED_ON_APPROVAL,Did the client requested insurance during the previous application,
